,words,letter,diversity,ranking
3680,recua,ercua,1.0,0.4602510460251046
1364,cuera,ercua,1.0,0.4602510460251046
3839,rueca,ercua,1.0,0.4602510460251046
4382,trago,grato,1.0,0.45993723849372387
403,argot,grato,1.0,0.45993723849372387
4356,torga,grato,1.0,0.45993723849372387
2012,grato,grato,1.0,0.45993723849372387
95,acedo,ecdao,1.0,0.45983263598326357
4332,tonal,lnato,1.0,0.4597803347280334
4162,talon,lnato,1.0,0.4597803347280334
2455,laton,lnato,1.0,0.4597803347280334
3773,rocha,rchao,1.0,0.45972803347280333
2190,horca,rchao,1.0,0.45972803347280333
3870,sabor,sbrao,1.0,0.4593096234309623
4065,sorba,sbrao,1.0,0.4593096234309623
4034,sobar,sbrao,1.0,0.4593096234309623
4037,sobra,sbrao,1.0,0.4593096234309623
732,bosar,sbrao,1.0,0.4593096234309623
2800,miera,ermia,1.0,0.45925732217573223
4152,talco,clato,1.0,0.45915271966527194
4311,tlaco,clato,1.0,0.45915271966527194
1702,faron,frnao,1.0,0.45915271966527194
1199,clota,clato,1.0,0.45915271966527194
657,bilao,bliao,1.0,0.4590481171548117
2407,labio,bliao,1.0,0.4590481171548117
3508,posar,srpao,1.0,0.4586297071129707
3544,prosa,srpao,1.0,0.4586297071129707
4060,sopar,srpao,1.0,0.4586297071129707
447,aspro,srpao,1.0,0.4586297071129707
1825,forca,frcao,1.0,0.45852510460251045
3714,renta,ernat,1.0,0.4584728033472803
4400,trena,ernat,1.0,0.4584728033472803
4249,terna,ernat,1.0,0.4584728033472803
4173,taner,ernat,1.0,0.4584728033472803
3228,palio,pliao,1.0,0.45836820083682006
3414,piola,pliao,1.0,0.45836820083682006
3652,rasel,esrla,1.0,0.4581589958158996
2448,laser,esrla,1.0,0.4581589958158996
37,mateo,emato,1.0,0.45815899581589953
2742,meato,emato,1.0,0.45815899581589953
2726,mateo,emato,1.0,0.45815899581589953
1330,creta,ercat,1.0,0.4578451882845188
4380,trace,ercat,1.0,0.4578451882845188
3678,recta,ercat,1.0,0.4578451882845188
1055,cetra,ercat,1.0,0.4578451882845188
975,catre,ercat,1.0,0.4578451882845188
3634,rajon,rjnao,1.0,0.4577405857740586
3667,razon,zrnao,1.0,0.4571652719665272
432,arzon,zrnao,1.0,0.4571652719665272
3806,ronza,zrnao,1.0,0.4571652719665272
76,abeto,ebato,1.0,0.4566422594142259
600,bateo,ebato,1.0,0.4566422594142259
612,beato,ebato,1.0,0.4566422594142259
1305,corza,zrcao,1.0,0.4565376569037657
4736,zarco,zrcao,1.0,0.4565376569037657
1341,croza,zrcao,1.0,0.4565376569037657
4549,varon,vrnao,1.0,0.4563807531380753
3073,novar,vrnao,1.0,0.4563807531380753
3299,pateo,epato,1.0,0.4559623430962343
4181,tapeo,epato,1.0,0.4559623430962343
3474,poeta,epato,1.0,0.4559623430962343
1303,corva,vrcao,1.0,0.4557531380753138
2299,jaleo,eljao,1.0,0.4547594142259414
3129,olaje,eljao,1.0,0.4547594142259414
982,cauno,cunao,1.0,0.454602510460251
3661,rauli,rliua,1.0,0.4543410041841004
49,rodas,srdao,1.0,0.45418410041841006
4068,sorda,srdao,1.0,0.45418410041841006
3927,sardo,srdao,1.0,0.45418410041841006
4725,zaleo,ezlao,1.0,0.45418410041841
233,alezo,ezlao,1.0,0.45418410041841
2423,laido,dliao,1.0,0.45392259414225944
292,amino,minao,1.0,0.45360878661087867
330,animo,minao,1.0,0.45360878661087867
271,alveo,evlao,1.0,0.45339958158995813
4644,volea,evlao,1.0,0.45339958158995813
2461,lauto,luato,1.0,0.45324267782426775
109,acimo,cmiao,1.0,0.4529811715481171
1231,coima,cmiao,1.0,0.4529811715481171
893,camio,cmiao,1.0,0.4529811715481171
2648,macio,cmiao,1.0,0.4529811715481171
3653,rasgo,sgrao,1.0,0.4526673640167364
4207,tasio,siato,1.0,0.4526673640167364
2010,graso,sgrao,1.0,0.4526673640167364
3929,sargo,sgrao,1.0,0.4526673640167364
2040,grosa,sgrao,1.0,0.4526673640167364
3176,ostia,siato,1.0,0.4526673640167364
402,argos,sgrao,1.0,0.4526673640167364
2243,idear,erdia,1.0,0.45261506276150626
3900,salon,slnao,1.0,0.452510460251046
2593,logia,gliao,1.0,0.4524058577405858
1904,galio,gliao,1.0,0.4524058577405858
913,canto,cnato,1.0,0.45219665271966525
973,caton,cnato,1.0,0.45219665271966525
4132,tacon,cnato,1.0,0.45219665271966525
4334,tonca,cnato,1.0,0.45219665271966525
1264,conta,cnato,1.0,0.45219665271966525
698,boina,binao,1.0,0.452092050209205
471,atril,rliat,1.0,0.4519351464435146
2562,litar,rliat,1.0,0.4519351464435146
4405,trial,rliat,1.0,0.4519351464435146
2454,latir,rliat,1.0,0.4519351464435146
4442,tuera,eruat,1.0,0.4519351464435146
837,cabio,bciao,1.0,0.4514644351464435
2127,harto,rhato,1.0,0.4514121338912134
3374,piano,pinao,1.0,0.4514121338912134
768,broma,brmao,1.0,0.45130753138075314
3976,serna,esrna,1.0,0.4512029288702929
2983,nares,esrna,1.0,0.4512029288702929
414,arnes,esrna,1.0,0.4512029288702929
2547,linea,elina,1.0,0.45094142259414227
285,ameos,esmao,1.0,0.4508891213389121
2658,maeso,esmao,1.0,0.4508891213389121
3214,paico,pciao,1.0,0.4507845188284519
3100,ocapi,pciao,1.0,0.4507845188284519
924,capio,pciao,1.0,0.4507845188284519
1271,copia,pciao,1.0,0.4507845188284519
3490,pomar,rpmao,1.0,0.4506276150627615
1328,cresa,esrca,1.0,0.45057531380753135
3877,sacre,esrca,1.0,0.45057531380753135
1048,cesar,esrca,1.0,0.45057531380753135
13,cesar,esrca,1.0,0.45057531380753135
3948,secar,esrca,1.0,0.45057531380753135
1020,celia,eclia,1.0,0.4503138075313807
1712,fator,frato,1.0,0.4502092050209205
2778,merla,ermla,1.0,0.4501569037656904
2753,melar,ermla,1.0,0.4501569037656904
2424,lamer,ermla,1.0,0.4501569037656904
163,agote,egato,1.0,0.44999999999999996
3866,sabeo,esbao,1.0,0.4493723849372385
3464,pobra,brpao,1.0,0.4491108786610879
3065,noray,yrnao,1.0,0.44905857740585775
3664,rayon,yrnao,1.0,0.44905857740585775
4417,troja,rjato,1.0,0.44879707112970707
3287,paseo,espao,1.0,0.44869246861924683
3614,rabel,ebrla,1.0,0.44864016736401674
3163,orlar,raol,0.8,0.44848326359832635
261,alora,raol,0.8,0.44848326359832635
3792,rolla,raol,0.8,0.44848326359832635
3134,ollar,raol,0.8,0.44848326359832635
3789,rolar,raol,0.8,0.44848326359832635
3636,rallo,raol,0.8,0.44848326359832635
117,acroy,yrcao,1.0,0.4484309623430962
4429,troza,zrato,1.0,0.4482217573221757
4394,trazo,zrato,1.0,0.4482217573221757
4376,tozar,zrato,1.0,0.4482217573221757
473,atroz,zrato,1.0,0.4482217573221757
515,aztor,zrato,1.0,0.4482217573221757
3350,perla,erpla,1.0,0.4479602510460251
3270,parel,erpla,1.0,0.4479602510460251
2493,lepra,erpla,1.0,0.4479602510460251
3348,peral,erpla,1.0,0.4479602510460251
3330,pelar,erpla,1.0,0.4479602510460251
191,ajeno,ejnao,1.0,0.4478033472803347
334,anjeo,ejnao,1.0,0.4478033472803347
320,anejo,ejnao,1.0,0.4478033472803347
4650,votar,vrato,1.0,0.4474372384937238
4368,torva,vrato,1.0,0.4474372384937238
4426,trova,vrato,1.0,0.4474372384937238
4392,travo,vrato,1.0,0.4474372384937238
3850,ruina,riuna,1.0,0.4473849372384937
999,ceajo,ecjao,1.0,0.44717573221757323
3695,reino,erino,1.0,0.44712343096234314
3712,renio,erino,1.0,0.44712343096234314
1491,diano,dinao,1.0,0.44696652719665275
983,cauri,rciua,1.0,0.4467573221757322
1403,curia,rciua,1.0,0.4467573221757322
4708,zaceo,ezcao,1.0,0.44660041841004183
101,acezo,ezcao,1.0,0.44660041841004183
1040,cerio,ercio,1.0,0.4464958158995816
3675,recio,ercio,1.0,0.4464958158995816
1429,dacio,cdiao,1.0,0.4463389121338912
106,acido,cdiao,1.0,0.4463389121338912
859,caido,cdiao,1.0,0.4463389121338912
1522,domar,rmdao,1.0,0.4461820083682008
2654,mador,rmdao,1.0,0.4461820083682008
482,ausol,sluao,1.0,0.4459728033472803
4637,voace,evcao,1.0,0.44581589958158996
986,cauto,cuato,1.0,0.4456589958158996
125,acuto,cuato,1.0,0.4456589958158996
1315,cotua,cuato,1.0,0.4456589958158996
1395,cuota,cuato,1.0,0.4456589958158996
2990,natri,rinat,1.0,0.4449790794979079
4196,tarin,rinat,1.0,0.4449790794979079
3875,sacon,scnao,1.0,0.4449267782426778
3915,sanco,scnao,1.0,0.4449267782426778
964,cason,scnao,1.0,0.4449267782426778
910,canso,scnao,1.0,0.4449267782426778
1980,gomar,grmao,1.0,0.4446652719665272
2003,gramo,grmao,1.0,0.4446652719665272
3766,robda,brdao,1.0,0.4446652719665272
3896,salir,srlia,1.0,0.4446652719665272
581,bardo,brdao,1.0,0.4446652719665272
2665,magro,grmao,1.0,0.4446652719665272
721,borda,brdao,1.0,0.4446652719665272
2885,morga,grmao,1.0,0.4446652719665272
294,amito,miato,1.0,0.44466527196652716
2674,malon,mlnao,1.0,0.44450836820083683
1183,citar,rciat,1.0,0.44435146443514645
1184,citra,rciat,1.0,0.44435146443514645
1527,dopar,rpdao,1.0,0.4439853556485356
3521,prado,rpdao,1.0,0.4439853556485356
3468,podar,rpdao,1.0,0.4439853556485356
3268,pardo,rpdao,1.0,0.4439853556485356
1250,comal,cmlao,1.0,0.4438807531380753
881,calmo,cmlao,1.0,0.4438807531380753
176,ahilo,lhiao,1.0,0.4438807531380753
3904,salto,slato,1.0,0.4435669456066945
2449,lasto,slato,1.0,0.4435669456066945
2494,lerda,erdla,1.0,0.4435146443514644
1599,encia,ecina,1.0,0.44335774058577404
1029,cenia,ecina,1.0,0.44335774058577404
2763,menar,ermna,1.0,0.4432008368200837
696,bogar,bgrao,1.0,0.44314853556485356
1926,garbo,bgrao,1.0,0.44314853556485356
665,biota,biato,1.0,0.4431485355648535
555,balon,blnao,1.0,0.4429916317991632
1824,foras,fsrao,1.0,0.44293933054393303
1832,fosar,fsrao,1.0,0.44293933054393303
151,afilo,fliao,1.0,0.4426778242677824
1812,folia,fliao,1.0,0.4426778242677824
2160,hiera,erhia,1.0,0.44257322175732217
2146,heria,erhia,1.0,0.44257322175732217
947,carme,ercma,1.0,0.44257322175732217
2775,merca,ercma,1.0,0.44257322175732217
1326,crema,ercma,1.0,0.44257322175732217
3211,pagro,grpao,1.0,0.4424686192468619
3272,pargo,grpao,1.0,0.4424686192468619
3433,pitao,piato,1.0,0.4424686192468619
3302,patio,piato,1.0,0.4424686192468619
4342,topia,piato,1.0,0.4424686192468619
685,bocal,bclao,1.0,0.4423640167364017
681,bloca,bclao,1.0,0.4423640167364017
1207,cobla,bclao,1.0,0.4423640167364017
3250,panol,plnao,1.0,0.44231171548117154
2438,lapon,plnao,1.0,0.44231171548117154
3062,nopal,plnao,1.0,0.44231171548117154
3232,palon,plnao,1.0,0.44231171548117154
3447,plano,plnao,1.0,0.44231171548117154
3721,resta,esrat,1.0,0.4422594142259414
4253,tesar,esrat,1.0,0.4422594142259414
1641,estar,esrat,1.0,0.4422594142259414
448,aster,esrat,1.0,0.4422594142259414
399,argel,egrla,1.0,0.44199790794979077
1962,glera,egrla,1.0,0.44199790794979077
2473,legra,egrla,1.0,0.44199790794979077
3691,regla,egrla,1.0,0.44199790794979077
2471,legar,egrla,1.0,0.44199790794979077
3479,polca,pclao,1.0,0.44168410041841005
1273,copla,pclao,1.0,0.44168410041841005
1247,colpa,pclao,1.0,0.44168410041841005
756,brena,ebrna,1.0,0.44168410041841005
3226,palco,pclao,1.0,0.44168410041841005
1266,copal,pclao,1.0,0.44168410041841005
375,arano,rnao,0.8,0.44152719665271967
3164,ornar,nrao,0.8,0.44152719665271967
3799,ronar,nrao,0.8,0.44152719665271967
3764,roano,nrao,0.8,0.44152719665271967
1758,fiera,efria,1.0,0.4413702928870293
1737,feria,efria,1.0,0.4413702928870293
248,alijo,ljiao,1.0,0.44126569037656904
251,alioj,ljiao,1.0,0.44126569037656904
754,breca,ebrca,1.0,0.4410564853556485
836,caber,ebrca,1.0,0.4410564853556485
1003,cebra,ebrca,1.0,0.4410564853556485
614,becar,ebrca,1.0,0.4410564853556485
1000,cebar,ebrca,1.0,0.4410564853556485
3277,parne,erpna,1.0,0.4410041841004184
3340,penar,erpna,1.0,0.4410041841004184
3352,perna,erpna,1.0,0.4410041841004184
3935,sarzo,szrao,1.0,0.44095188284518827
1284,corca,rcoa,0.8,0.4408995815899582
1336,croar,rcoa,0.8,0.4408995815899582
1281,corar,rcoa,0.8,0.4408995815899582
1294,corra,rcoa,0.8,0.4408995815899582
954,carro,raco,0.8,0.4408995815899581
415,aroca,raco,0.8,0.4408995815899581
1212,cocar,raco,0.8,0.4408995815899581
929,carao,raco,0.8,0.4408995815899581
348,aocar,raco,0.8,0.4408995815899581
3621,racor,crao,0.8,0.4408995815899581
113,acoro,raco,0.8,0.4408995815899581
91,acaro,raco,0.8,0.4408995815899581
